Modality,Source,Revision Round,Top 1,Top 3,Top 5,Top 10,Tani@1,Tani@3,Tani@5,Tani@10
C&H,evaluation_NMRBank_10000_10_5_rmse_631,1,0.6021,0.679,0.6944,0.7038,0.7638,0.7895,0.7965,0.8025
C&H,evaluation_NMRBank_10000_10_5_rmse_631,2,0.6029,0.6817,0.6973,0.7092,0.7651,0.7906,0.7976,0.8049
C&H,evaluation_NMRBank_10000_10_5_rmse_631,3,0.6031,0.6821,0.6978,0.7098,0.7654,0.7908,0.7978,0.805
C&H,evaluation_NMRBank_10000_10_5_rmse_631,4,0.6031,0.6824,0.6981,0.7102,0.7655,0.791,0.7981,0.8052
C&H,evaluation_NMRBank_10000_10_5_rmse_631,5,0.6032,0.6822,0.6982,0.7102,0.7655,0.7908,0.7981,0.8051
C&H,nmr2mol,0,0.4388,0.561,0.5946,0.6324,0.6725,0.7346,0.7539,0.7755
C,evaluation_NMRBank_10000_10_5_rmse_82,1,0.4916,0.5647,0.5805,0.5944,0.6689,0.7039,0.7147,0.7268
C,evaluation_NMRBank_10000_10_5_rmse_82,2,0.4955,0.5676,0.5848,0.6004,0.6719,0.7048,0.7161,0.7288
C,evaluation_NMRBank_10000_10_5_rmse_82,3,0.4963,0.5684,0.5856,0.6017,0.6721,0.7046,0.7155,0.7289
C,evaluation_NMRBank_10000_10_5_rmse_82,4,0.4965,0.5681,0.5855,0.6008,0.6721,0.7039,0.7151,0.7283
C,evaluation_NMRBank_10000_10_5_rmse_82,5,0.4964,0.568,0.5854,0.6008,0.6722,0.7039,0.7151,0.7283
C,nmr2mol,0,0.3104,0.4255,0.4613,0.5015,0.5668,0.6398,0.6636,0.6913
H,evaluation_NMRBank_10000_10_5_rmse_64,1,0.4454,0.5469,0.5757,0.5967,0.6539,0.7063,0.7214,0.7344
H,evaluation_NMRBank_10000_10_5_rmse_64,2,0.4449,0.5481,0.5778,0.6018,0.653,0.7062,0.7222,0.7368
H,evaluation_NMRBank_10000_10_5_rmse_64,3,0.4441,0.5482,0.5773,0.6019,0.6517,0.7053,0.7216,0.7366
H,evaluation_NMRBank_10000_10_5_rmse_64,4,0.4439,0.5481,0.5769,0.6017,0.6512,0.705,0.7211,0.7365
H,evaluation_NMRBank_10000_10_5_rmse_64,5,0.4443,0.5479,0.5769,0.6021,0.6512,0.7049,0.721,0.7365
H,nmr2mol,0,0.3209,0.4286,0.4653,0.5066,0.5724,0.6433,0.6676,0.6952
