source,NMR Similarity Metric,Ratio Setting,Top 1,Top 3,Top 5,Top 10,Tani@1,Tani@3,Tani@5,Tani@10
evaluation_NMRBank_1000_10_5_rmse_0010,RMSE,"(0, 0, 1)",0.474,0.569,0.611,0.671,0.6895,0.7429,0.7631,0.7867
evaluation_NMRBank_1000_10_5_rmse_0100,RMSE,"(0, 1, 0)",0.449,0.605,0.663,0.702,0.7014,0.7576,0.7778,0.797
evaluation_NMRBank_1000_10_5_rmse_1000,RMSE,"(1, 0, 0)",0.522,0.651,0.678,0.7,0.7324,0.7732,0.7831,0.7942
evaluation_NMRBank_1000_10_5_rmse_217,RMSE,"(0.2, 0.1, 0.7)",0.542,0.643,0.671,0.705,0.738,0.7766,0.7861,0.7981
evaluation_NMRBank_1000_10_5_rmse_280,RMSE,"(0.2, 0.8, 0)",0.511,0.656,0.683,0.711,0.738,0.7774,0.7884,0.8
evaluation_NMRBank_1000_10_5_rmse_316,RMSE,"(0.3, 0.1, 0.6)",0.548,0.665,0.69,0.712,0.741,0.7829,0.7921,0.8003
evaluation_NMRBank_1000_10_5_rmse_460,RMSE,"(0.4, 0.6, 0)",0.549,0.673,0.692,0.714,0.7531,0.7857,0.793,0.8021
evaluation_NMRBank_1000_10_5_rmse_613,RMSE,"(0.6, 0.1, 0.3)",0.592,0.685,0.701,0.717,0.7534,0.7856,0.7935,0.8009
evaluation_NMRBank_1000_10_5_rmse_631,RMSE,"(0.6, 0.3, 0.1)",0.602,0.685,0.704,0.715,0.7616,0.7893,0.7965,0.8014
evaluation_NMRBank_1000_10_5_rmse_640,RMSE,"(0.6, 0.4, 0)",0.558,0.675,0.694,0.714,0.7593,0.7859,0.7953,0.8014
evaluation_NMRBank_1000_10_5_rmse_712,RMSE,"(0.7, 0.1, 0.2)",0.597,0.683,0.702,0.714,0.755,0.786,0.7927,0.7986
evaluation_NMRBank_1000_10_5_rmse_721,RMSE,"(0.7, 0.2, 0.1)",0.594,0.68,0.701,0.716,0.7536,0.7854,0.7935,0.8007
evaluation_NMRBank_1000_10_5_rmse_811,RMSE,"(0.8, 0.1, 0.1)",0.585,0.68,0.698,0.711,0.7483,0.784,0.7911,0.7976
evaluation_NMRBank_1000_10_5_rmse_820,RMSE,"(0.8, 0.2, 0)",0.551,0.664,0.689,0.711,0.75,0.7806,0.7915,0.7993
evaluation_NMRBank_1000_10_5_set_match_score_0010,Set Match Score,"(0, 0, 1)",0.474,0.569,0.611,0.671,0.6902,0.7434,0.7631,0.7867
evaluation_NMRBank_1000_10_5_set_match_score_0100,Set Match Score,"(0, 1, 0)",0.462,0.61,0.663,0.702,0.709,0.7645,0.7819,0.7986
evaluation_NMRBank_1000_10_5_set_match_score_1000,Set Match Score,"(1, 0, 0)",0.535,0.671,0.693,0.705,0.7447,0.7796,0.7888,0.796
evaluation_NMRBank_1000_10_5_set_match_score_217,Set Match Score,"(0.2, 0.1, 0.7)",0.512,0.598,0.636,0.679,0.722,0.7608,0.7746,0.7914
evaluation_NMRBank_1000_10_5_set_match_score_280,Set Match Score,"(0.2, 0.8, 0)",0.515,0.655,0.68,0.709,0.7402,0.7798,0.7891,0.8023
evaluation_NMRBank_1000_10_5_set_match_score_316,Set Match Score,"(0.3, 0.1, 0.6)",0.517,0.608,0.645,0.682,0.7262,0.7642,0.7762,0.7929
evaluation_NMRBank_1000_10_5_set_match_score_460,Set Match Score,"(0.4, 0.6, 0)",0.541,0.668,0.687,0.714,0.751,0.786,0.7925,0.8024
evaluation_NMRBank_1000_10_5_set_match_score_613,Set Match Score,"(0.6, 0.1, 0.3)",0.534,0.645,0.67,0.698,0.7357,0.7777,0.7862,0.7967
evaluation_NMRBank_1000_10_5_set_match_score_631,Set Match Score,"(0.6, 0.3, 0.1)",0.561,0.672,0.702,0.718,0.7514,0.7864,0.796,0.8022
evaluation_NMRBank_1000_10_5_set_match_score_640,Set Match Score,"(0.6, 0.4, 0)",0.556,0.674,0.694,0.716,0.7565,0.7854,0.7942,0.8034
evaluation_NMRBank_1000_10_5_set_match_score_712,Set Match Score,"(0.7, 0.1, 0.2)",0.547,0.659,0.683,0.705,0.742,0.7813,0.7901,0.7979
evaluation_NMRBank_1000_10_5_set_match_score_721,Set Match Score,"(0.7, 0.2, 0.1)",0.564,0.675,0.7,0.715,0.7527,0.7864,0.7942,0.8006
evaluation_NMRBank_1000_10_5_set_match_score_811,Set Match Score,"(0.8, 0.1, 0.1)",0.56,0.674,0.694,0.714,0.7485,0.7853,0.7923,0.7997
evaluation_NMRBank_1000_10_5_set_match_score_820,Set Match Score,"(0.8, 0.2, 0)",0.553,0.675,0.695,0.714,0.7545,0.7854,0.7921,0.8004
nmr2mol,-,-,0.437,0.566,0.595,0.638,0.6689,0.7343,0.7512,0.7756
