Modality,Source,Iteration,Top 1,Top 3,Top 5,Top 10,Tani@1,Tani@3,Tani@5,Tani@10
C&H,evaluation_NMRBank_1000_10_5_rmse_631_mol2nmr_0,0,0.589,0.677,0.699,0.712,0.7551,0.7841,0.7927,0.8007
C&H,evaluation_NMRBank_1000_10_5_rmse_631_mol2nmr_1,1,0.598,0.688,0.7,0.712,0.7615,0.7867,0.7932,0.8011
C&H,evaluation_NMRBank_1000_10_5_rmse_631_mol2nmr_2,2,0.601,0.685,0.702,0.711,0.763,0.7882,0.794,0.8005
C&H,evaluation_NMRBank_1000_10_5_rmse_631_mol2nmr_3,3,0.594,0.68,0.699,0.712,0.7564,0.7854,0.7939,0.8013
C&H,evaluation_NMRBank_1000_10_5_rmse_631_mol2nmr_4,4,0.604,0.683,0.701,0.713,0.7616,0.7874,0.7945,0.8002
C&H,evaluation_NMRBank_1000_10_5_rmse_631_mol2nmr_nmrshiftdb,nmrshiftdb,0.501,0.645,0.685,0.705,0.7098,0.7694,0.7868,0.7985
C&H,nmr2mol,-,0.437,0.566,0.595,0.638,0.6689,0.7343,0.7512,0.7756
C,evaluation_NMRBank_1000_10_5_rmse_82_mol2nmr_0,0,0.474,0.553,0.575,0.592,0.6548,0.6956,0.7121,0.7244
C,evaluation_NMRBank_1000_10_5_rmse_82_mol2nmr_1,1,0.48,0.561,0.577,0.594,0.6576,0.6998,0.7115,0.7249
C,evaluation_NMRBank_1000_10_5_rmse_82_mol2nmr_2,2,0.483,0.559,0.58,0.593,0.6611,0.6991,0.7124,0.7245
C,evaluation_NMRBank_1000_10_5_rmse_82_mol2nmr_3,3,0.479,0.566,0.581,0.595,0.6575,0.7011,0.7134,0.725
C,evaluation_NMRBank_1000_10_5_rmse_82_mol2nmr_4,4,0.477,0.566,0.582,0.596,0.6586,0.7015,0.7151,0.7265
C,evaluation_NMRBank_1000_10_5_rmse_82_mol2nmr_nmrshiftdb,nmrshiftdb,0.393,0.524,0.555,0.583,0.6121,0.686,0.703,0.7209
C,nmr2mol,-,0.299,0.417,0.458,0.505,0.559,0.6378,0.6643,0.693
H,evaluation_NMRBank_1000_10_5_rmse_64_mol2nmr_0,0,0.41,0.541,0.581,0.6,0.6389,0.7047,0.7204,0.7315
H,evaluation_NMRBank_1000_10_5_rmse_64_mol2nmr_1,1,0.417,0.544,0.578,0.601,0.6438,0.7052,0.7213,0.7315
H,evaluation_NMRBank_1000_10_5_rmse_64_mol2nmr_2,2,0.421,0.549,0.584,0.602,0.6455,0.7069,0.7219,0.7321
H,evaluation_NMRBank_1000_10_5_rmse_64_mol2nmr_3,3,0.419,0.541,0.576,0.601,0.6417,0.7036,0.7192,0.7308
H,evaluation_NMRBank_1000_10_5_rmse_64_mol2nmr_4,4,0.438,0.555,0.589,0.605,0.6512,0.7092,0.723,0.7311
H,evaluation_NMRBank_1000_10_5_rmse_64_mol2nmr_nmrshiftdb,nmrshiftdb,0.334,0.48,0.537,0.587,0.5816,0.6768,0.7041,0.7266
H,nmr2mol,-,0.325,0.44,0.474,0.516,0.5815,0.6499,0.6724,0.7002
