Modality,Source,Augmentation Scale,Top 1,Top 3,Top 5,Top 10,Tani@1,Tani@3,Tani@5,Tani@10
C&H,evaluation_NMRBank_1000_10_5_rmse_631_molref_1,1,0.553,0.644,0.668,0.69,0.7428,0.7679,0.7794,0.79
C&H,evaluation_NMRBank_1000_10_5_rmse_631_molref_3,3,0.585,0.67,0.691,0.706,0.7524,0.7817,0.792,0.7981
C&H,evaluation_NMRBank_1000_10_5_rmse_631_molref_5,5,0.604,0.682,0.7,0.712,0.7612,0.7855,0.7947,0.8016
C&H,evaluation_NMRBank_1000_10_5_rmse_631_molref_10,10,0.603,0.683,0.701,0.712,0.7615,0.7869,0.7946,0.8002
C&H,nmr2mol,-,0.437,0.566,0.595,0.638,0.6689,0.7343,0.7512,0.7756
C,evaluation_NMRBank_1000_10_5_rmse_82_molref_1,1,0.434,0.526,0.543,0.565,0.642,0.6779,0.6899,0.7068
C,evaluation_NMRBank_1000_10_5_rmse_82_molref_3,3,0.466,0.541,0.561,0.579,0.654,0.6896,0.7031,0.7166
C,evaluation_NMRBank_1000_10_5_rmse_82_molref_5,5,0.477,0.555,0.576,0.587,0.6584,0.6942,0.7082,0.7187
C,evaluation_NMRBank_1000_10_5_rmse_82_molref_10,10,0.478,0.566,0.582,0.596,0.6587,0.7015,0.7152,0.7265
C,nmr2mol,-,0.299,0.417,0.458,0.505,0.559,0.6378,0.6643,0.693
H,evaluation_NMRBank_1000_10_5_rmse_64_molref_1,1,0.398,0.502,0.542,0.57,0.6291,0.6835,0.7023,0.7181
H,evaluation_NMRBank_1000_10_5_rmse_64_molref_3,3,0.429,0.542,0.577,0.599,0.6472,0.7023,0.7184,0.7301
H,evaluation_NMRBank_1000_10_5_rmse_64_molref_5,5,0.422,0.538,0.578,0.601,0.6445,0.7033,0.7205,0.7323
H,evaluation_NMRBank_1000_10_5_rmse_64_molref_10,10,0.436,0.554,0.589,0.605,0.6502,0.7084,0.7229,0.731
H,nmr2mol,-,0.325,0.44,0.474,0.516,0.5815,0.6499,0.6724,0.7002
