Modality,Source,Beam Size,Revision_Rounds,Top 1,Top 3,Top 5,Top 10,Tani@1,Tani@3,Tani@5,Tani@10
C&H,evaluation_NMRBank_1000_10_5_rmse_631,10,1,0.604,0.684,0.701,0.712,0.761,0.7871,0.7946,0.8002
C&H,evaluation_NMRBank_1000_10_5_rmse_631,10,2,0.602,0.685,0.704,0.715,0.7616,0.7893,0.7965,0.8014
C&H,evaluation_NMRBank_1000_10_5_rmse_631,10,3,0.602,0.686,0.705,0.716,0.762,0.7896,0.7968,0.8012
C&H,evaluation_NMRBank_1000_10_5_rmse_631,10,4,0.602,0.686,0.705,0.717,0.7622,0.7893,0.7968,0.8012
C&H,evaluation_NMRBank_1000_10_5_rmse_631,10,5,0.602,0.686,0.705,0.717,0.7623,0.7894,0.7969,0.8013
C&H,nmr2mol,10,-,0.437,0.566,0.595,0.638,0.6689,0.7343,0.7512,0.7756
C&H,evaluation_NMRBank_1000_15_5_rmse_631,15,1,0.609,0.686,0.714,0.731,0.7664,0.7941,0.8043,0.8127
C&H,evaluation_NMRBank_1000_15_5_rmse_631,15,2,0.603,0.682,0.708,0.729,0.765,0.7928,0.8014,0.8116
C&H,evaluation_NMRBank_1000_15_5_rmse_631,15,3,0.603,0.682,0.71,0.73,0.7637,0.792,0.8013,0.812
C&H,evaluation_NMRBank_1000_15_5_rmse_631,15,4,0.603,0.682,0.708,0.73,0.7636,0.7921,0.8005,0.8114
C&H,evaluation_NMRBank_1000_15_5_rmse_631,15,5,0.603,0.682,0.708,0.73,0.7637,0.7921,0.8004,0.8111
C&H,nmr2mol,15,-,0.437,0.566,0.595,0.638,0.6731,0.7387,0.7557,0.7804
C&H,evaluation_NMRBank_1000_20_5_rmse_631,20,1,0.608,0.692,0.716,0.742,0.7677,0.7981,0.8073,0.8197
C&H,evaluation_NMRBank_1000_20_5_rmse_631,20,2,0.603,0.692,0.711,0.741,0.7658,0.7973,0.8068,0.8197
C&H,evaluation_NMRBank_1000_20_5_rmse_631,20,3,0.601,0.692,0.71,0.739,0.7647,0.7969,0.8057,0.8193
C&H,evaluation_NMRBank_1000_20_5_rmse_631,20,4,0.6,0.692,0.71,0.739,0.7643,0.7966,0.8054,0.8197
