Modality,Source,Revision Round,Top 1,Top 3,Top 5,Top 10,Tani@1,Tani@3,Tani@5,Tani@10
C&H,evaluation_NMRExp_10000_10_5_rmse_631,1,0.6563,0.7901,0.815,0.8308,0.8965,0.9171,0.9229,0.9285
C&H,evaluation_NMRExp_10000_10_5_rmse_631,2,0.6552,0.7919,0.8174,0.8345,0.8976,0.9179,0.9244,0.93
C&H,evaluation_NMRExp_10000_10_5_rmse_631,3,0.6552,0.792,0.818,0.8351,0.8979,0.918,0.9245,0.9299
C&H,evaluation_NMRExp_10000_10_5_rmse_631,4,0.6552,0.792,0.8179,0.8353,0.8978,0.9179,0.9243,0.9297
C&H,evaluation_NMRExp_10000_10_5_rmse_631,5,0.6552,0.7919,0.8178,0.8352,0.8979,0.9177,0.9242,0.9297
C&H,nmr2mol,0,0.5434,0.6959,0.7339,0.7718,0.8152,0.8711,0.887,0.9049
C,evaluation_NMRExp_10000_10_5_rmse_82,1,0.573,0.6802,0.7039,0.7229,0.8182,0.8422,0.8525,0.863
C,evaluation_NMRExp_10000_10_5_rmse_82,2,0.5792,0.6891,0.7132,0.7338,0.8214,0.8446,0.8546,0.8659
C,evaluation_NMRExp_10000_10_5_rmse_82,3,0.5803,0.6916,0.7154,0.735,0.8226,0.8454,0.8549,0.8665
C,evaluation_NMRExp_10000_10_5_rmse_82,4,0.5813,0.6923,0.7163,0.7355,0.8232,0.8457,0.8551,0.8664
C,evaluation_NMRExp_10000_10_5_rmse_82,5,0.5814,0.6924,0.7163,0.7358,0.8232,0.8455,0.8549,0.8663
C,nmr2mol,0,0.39,0.5369,0.5786,0.6292,0.6852,0.7643,0.7912,0.8211
H,evaluation_NMRExp_10000_10_5_rmse_64,1,0.4928,0.634,0.6767,0.714,0.7741,0.8315,0.8473,0.862
H,evaluation_NMRExp_10000_10_5_rmse_64,2,0.4915,0.6331,0.677,0.7184,0.7718,0.8298,0.8482,0.864
H,evaluation_NMRExp_10000_10_5_rmse_64,3,0.491,0.6327,0.6763,0.7185,0.7711,0.8288,0.847,0.8635
H,evaluation_NMRExp_10000_10_5_rmse_64,4,0.491,0.6323,0.6759,0.7188,0.7708,0.828,0.8462,0.863
H,evaluation_NMRExp_10000_10_5_rmse_64,5,0.4909,0.6323,0.6753,0.7186,0.7705,0.8277,0.8458,0.8628
H,nmr2mol,0,0.36,0.505,0.5538,0.6088,0.6675,0.7506,0.7788,0.8093
