source,NMR Similarity Metric,Ratio Setting,Top 1,Top 3,Top 5,Top 10,Tani@1,Tani@3,Tani@5,Tani@10
evaluation_NMRExp_1000_10_5_rmse_0010,RMSE,"(0, 0, 1)",0.535,0.636,0.671,0.716,0.7957,0.857,0.8733,0.8952
evaluation_NMRExp_1000_10_5_rmse_0100,RMSE,"(0, 1, 0)",0.379,0.677,0.754,0.81,0.8094,0.8824,0.9026,0.9179
evaluation_NMRExp_1000_10_5_rmse_1000,RMSE,"(1, 0, 0)",0.48,0.726,0.777,0.814,0.8605,0.897,0.9083,0.9185
evaluation_NMRExp_1000_10_5_rmse_217,RMSE,"(0.2, 0.1, 0.7)",0.6,0.726,0.756,0.807,0.8645,0.8999,0.9079,0.9206
evaluation_NMRExp_1000_10_5_rmse_280,RMSE,"(0.2, 0.8, 0)",0.451,0.733,0.777,0.817,0.858,0.9052,0.9149,0.9224
evaluation_NMRExp_1000_10_5_rmse_316,RMSE,"(0.3, 0.1, 0.6)",0.621,0.746,0.781,0.811,0.8763,0.9056,0.9131,0.9214
evaluation_NMRExp_1000_10_5_rmse_460,RMSE,"(0.4, 0.6, 0)",0.482,0.745,0.787,0.823,0.8721,0.9102,0.9168,0.9236
evaluation_NMRExp_1000_10_5_rmse_613,RMSE,"(0.6, 0.1, 0.3)",0.643,0.773,0.794,0.82,0.8831,0.9072,0.9147,0.9203
evaluation_NMRExp_1000_10_5_rmse_631,RMSE,"(0.6, 0.3, 0.1)",0.646,0.774,0.794,0.825,0.8873,0.9091,0.9151,0.9229
evaluation_NMRExp_1000_10_5_rmse_640,RMSE,"(0.6, 0.4, 0)",0.494,0.747,0.791,0.824,0.8755,0.9076,0.9155,0.9226
evaluation_NMRExp_1000_10_5_rmse_712,RMSE,"(0.7, 0.1, 0.2)",0.641,0.772,0.793,0.819,0.883,0.907,0.9138,0.9197
evaluation_NMRExp_1000_10_5_rmse_721,RMSE,"(0.7, 0.2, 0.1)",0.643,0.77,0.793,0.821,0.8841,0.9071,0.9135,0.9207
evaluation_NMRExp_1000_10_5_rmse_811,RMSE,"(0.8, 0.1, 0.1)",0.637,0.768,0.79,0.82,0.8822,0.9059,0.9126,0.9202
evaluation_NMRExp_1000_10_5_rmse_820,RMSE,"(0.8, 0.2, 0)",0.497,0.735,0.793,0.82,0.8684,0.9039,0.9142,0.9204
evaluation_NMRExp_1000_10_5_set_match_score_0010,Set Match Score,"(0, 0, 1)",0.535,0.636,0.671,0.716,0.7957,0.857,0.8733,0.8952
evaluation_NMRExp_1000_10_5_set_match_score_0100,Set Match Score,"(0, 1, 0)",0.393,0.681,0.764,0.813,0.8177,0.8867,0.9064,0.9207
evaluation_NMRExp_1000_10_5_set_match_score_1000,Set Match Score,"(1, 0, 0)",0.507,0.74,0.79,0.819,0.8706,0.9049,0.9129,0.922
evaluation_NMRExp_1000_10_5_set_match_score_217,Set Match Score,"(0.2, 0.1, 0.7)",0.566,0.656,0.689,0.734,0.8401,0.8771,0.8886,0.9041
evaluation_NMRExp_1000_10_5_set_match_score_280,Set Match Score,"(0.2, 0.8, 0)",0.462,0.731,0.78,0.818,0.8635,0.9053,0.9152,0.9231
evaluation_NMRExp_1000_10_5_set_match_score_316,Set Match Score,"(0.3, 0.1, 0.6)",0.571,0.663,0.704,0.745,0.8442,0.8793,0.8936,0.9068
evaluation_NMRExp_1000_10_5_set_match_score_460,Set Match Score,"(0.4, 0.6, 0)",0.489,0.748,0.788,0.823,0.872,0.9097,0.9185,0.9255
evaluation_NMRExp_1000_10_5_set_match_score_613,Set Match Score,"(0.6, 0.1, 0.3)",0.587,0.698,0.748,0.792,0.8569,0.8923,0.9065,0.918
evaluation_NMRExp_1000_10_5_set_match_score_631,Set Match Score,"(0.6, 0.3, 0.1)",0.617,0.748,0.782,0.823,0.8799,0.9085,0.917,0.9251
evaluation_NMRExp_1000_10_5_set_match_score_640,Set Match Score,"(0.6, 0.4, 0)",0.506,0.745,0.796,0.824,0.878,0.9111,0.9177,0.924
evaluation_NMRExp_1000_10_5_set_match_score_712,Set Match Score,"(0.7, 0.1, 0.2)",0.599,0.726,0.762,0.808,0.8641,0.9005,0.9107,0.9224
evaluation_NMRExp_1000_10_5_set_match_score_721,Set Match Score,"(0.7, 0.2, 0.1)",0.618,0.749,0.784,0.821,0.8792,0.9087,0.9165,0.9235
evaluation_NMRExp_1000_10_5_set_match_score_811,Set Match Score,"(0.8, 0.1, 0.1)",0.618,0.749,0.781,0.82,0.876,0.9063,0.9146,0.9237
evaluation_NMRExp_1000_10_5_set_match_score_820,Set Match Score,"(0.8, 0.2, 0)",0.513,0.74,0.795,0.823,0.8748,0.9088,0.916,0.9232
nmr2mol,-,-,0.515,0.678,0.723,0.752,0.8018,0.8613,0.8798,0.8955
