source,NMR Similarity Metric,Ratio Setting,Top 1,Top 3,Top 5,Top 10,Tani@1,Tani@3,Tani@5,Tani@10
evaluation_NMRExp_1000_10_5_rmse_0010,RMSE,"(0, 0, 1)",0.535,0.636,0.672,0.717,0.7958,0.8579,0.8743,0.8959
evaluation_NMRExp_1000_10_5_rmse_0100,RMSE,"(0, 1, 0)",0.379,0.679,0.756,0.81,0.8109,0.8847,0.9037,0.9184
evaluation_NMRExp_1000_10_5_rmse_1000,RMSE,"(1, 0, 0)",0.48,0.726,0.778,0.814,0.8604,0.8971,0.9084,0.919
evaluation_NMRExp_1000_10_5_rmse_217,RMSE,"(0.2, 0.1, 0.7)",0.601,0.726,0.756,0.807,0.8652,0.9004,0.9081,0.9208
evaluation_NMRExp_1000_10_5_rmse_280,RMSE,"(0.2, 0.8, 0)",0.451,0.733,0.777,0.817,0.8578,0.9048,0.9151,0.9225
evaluation_NMRExp_1000_10_5_rmse_316,RMSE,"(0.3, 0.1, 0.6)",0.622,0.748,0.782,0.811,0.8769,0.9068,0.9139,0.9219
evaluation_NMRExp_1000_10_5_rmse_460,RMSE,"(0.4, 0.6, 0)",0.483,0.746,0.788,0.823,0.8724,0.9103,0.9175,0.9244
evaluation_NMRExp_1000_10_5_rmse_613,RMSE,"(0.6, 0.1, 0.3)",0.643,0.773,0.795,0.821,0.8831,0.9074,0.915,0.9217
evaluation_NMRExp_1000_10_5_rmse_631,RMSE,"(0.6, 0.3, 0.1)",0.646,0.776,0.796,0.826,0.8877,0.9096,0.9156,0.9234
evaluation_NMRExp_1000_10_5_rmse_640,RMSE,"(0.6, 0.4, 0)",0.495,0.75,0.792,0.825,0.8759,0.9089,0.916,0.9228
evaluation_NMRExp_1000_10_5_rmse_712,RMSE,"(0.7, 0.1, 0.2)",0.641,0.772,0.795,0.819,0.8829,0.9072,0.9139,0.9214
evaluation_NMRExp_1000_10_5_rmse_721,RMSE,"(0.7, 0.2, 0.1)",0.643,0.77,0.794,0.822,0.8842,0.9073,0.9135,0.9221
evaluation_NMRExp_1000_10_5_rmse_811,RMSE,"(0.8, 0.1, 0.1)",0.637,0.768,0.791,0.82,0.8821,0.9061,0.9127,0.9217
evaluation_NMRExp_1000_10_5_rmse_820,RMSE,"(0.8, 0.2, 0)",0.497,0.736,0.793,0.821,0.8685,0.904,0.9142,0.9219
evaluation_NMRExp_1000_10_5_set_match_score_0010,Set Match Score,"(0, 0, 1)",0.535,0.636,0.672,0.717,0.7958,0.8579,0.8743,0.8959
evaluation_NMRExp_1000_10_5_set_match_score_0100,Set Match Score,"(0, 1, 0)",0.393,0.682,0.766,0.814,0.8193,0.8882,0.9078,0.9212
evaluation_NMRExp_1000_10_5_set_match_score_1000,Set Match Score,"(1, 0, 0)",0.507,0.74,0.79,0.819,0.8705,0.9048,0.9128,0.9222
evaluation_NMRExp_1000_10_5_set_match_score_217,Set Match Score,"(0.2, 0.1, 0.7)",0.567,0.656,0.691,0.735,0.8409,0.8772,0.8892,0.9044
evaluation_NMRExp_1000_10_5_set_match_score_280,Set Match Score,"(0.2, 0.8, 0)",0.462,0.732,0.781,0.82,0.8637,0.9061,0.9158,0.9241
evaluation_NMRExp_1000_10_5_set_match_score_316,Set Match Score,"(0.3, 0.1, 0.6)",0.572,0.664,0.704,0.747,0.8448,0.8801,0.8939,0.9071
evaluation_NMRExp_1000_10_5_set_match_score_460,Set Match Score,"(0.4, 0.6, 0)",0.489,0.748,0.788,0.823,0.8722,0.9098,0.9193,0.9257
evaluation_NMRExp_1000_10_5_set_match_score_613,Set Match Score,"(0.6, 0.1, 0.3)",0.587,0.7,0.75,0.794,0.8571,0.8935,0.9078,0.9186
evaluation_NMRExp_1000_10_5_set_match_score_631,Set Match Score,"(0.6, 0.3, 0.1)",0.617,0.749,0.782,0.823,0.8799,0.9094,0.9177,0.9252
evaluation_NMRExp_1000_10_5_set_match_score_640,Set Match Score,"(0.6, 0.4, 0)",0.506,0.745,0.796,0.825,0.8783,0.9111,0.9179,0.9247
evaluation_NMRExp_1000_10_5_set_match_score_712,Set Match Score,"(0.7, 0.1, 0.2)",0.599,0.726,0.764,0.811,0.8642,0.901,0.9118,0.9235
evaluation_NMRExp_1000_10_5_set_match_score_721,Set Match Score,"(0.7, 0.2, 0.1)",0.618,0.749,0.784,0.823,0.8791,0.9088,0.9166,0.9253
evaluation_NMRExp_1000_10_5_set_match_score_811,Set Match Score,"(0.8, 0.1, 0.1)",0.618,0.749,0.782,0.821,0.876,0.9065,0.9148,0.9249
evaluation_NMRExp_1000_10_5_set_match_score_820,Set Match Score,"(0.8, 0.2, 0)",0.513,0.74,0.795,0.826,0.875,0.9089,0.916,0.925
nmr2mol,-,-,0.515,0.678,0.723,0.752,0.8018,0.8613,0.8798,0.8955
