source,NMR Similarity Metric,Ratio Setting,Top 1,Top 3,Top 5,Top 10,Tani@1,Tani@3,Tani@5,Tani@10
evaluation_NMRExp_1000_10_5_rmse_010,RMSE,"(0, 1)",0.385,0.47,0.509,0.556,0.6469,0.7325,0.7642,0.7974
evaluation_NMRExp_1000_10_5_rmse_100,RMSE,"(1, 0)",0.426,0.632,0.679,0.708,0.7821,0.8168,0.8333,0.8459
evaluation_NMRExp_1000_10_5_rmse_28,RMSE,"(0.2, 0.8)",0.499,0.571,0.601,0.639,0.759,0.7953,0.81,0.832
evaluation_NMRExp_1000_10_5_rmse_46,RMSE,"(0.4, 0.6)",0.532,0.633,0.664,0.702,0.7823,0.8174,0.8318,0.85
evaluation_NMRExp_1000_10_5_rmse_55,RMSE,"(0.5, 0.5)",0.542,0.646,0.676,0.708,0.7899,0.8221,0.8354,0.8501
evaluation_NMRExp_1000_10_5_rmse_64,RMSE,"(0.6, 0.4)",0.549,0.665,0.688,0.709,0.7934,0.8245,0.8366,0.8485
evaluation_NMRExp_1000_10_5_rmse_82,RMSE,"(0.8, 0.2)",0.562,0.667,0.694,0.708,0.8008,0.8248,0.8356,0.8479
evaluation_NMRExp_1000_10_5_set_match_score_010,Set Match Score,"(0, 1)",0.385,0.47,0.509,0.556,0.6469,0.7325,0.7642,0.7974
evaluation_NMRExp_1000_10_5_set_match_score_100,Set Match Score,"(1, 0)",0.447,0.646,0.692,0.721,0.7886,0.8237,0.8409,0.8538
evaluation_NMRExp_1000_10_5_set_match_score_28,Set Match Score,"(0.2, 0.8)",0.468,0.511,0.539,0.575,0.7353,0.7754,0.7907,0.8097
evaluation_NMRExp_1000_10_5_set_match_score_46,Set Match Score,"(0.4, 0.6)",0.478,0.529,0.56,0.592,0.7483,0.7856,0.7992,0.8166
evaluation_NMRExp_1000_10_5_set_match_score_55,Set Match Score,"(0.5, 0.5)",0.487,0.541,0.572,0.609,0.7532,0.7894,0.8028,0.8234
evaluation_NMRExp_1000_10_5_set_match_score_64,Set Match Score,"(0.6, 0.4)",0.492,0.551,0.592,0.634,0.7585,0.7927,0.8109,0.8337
evaluation_NMRExp_1000_10_5_set_match_score_82,Set Match Score,"(0.8, 0.2)",0.508,0.606,0.633,0.677,0.7707,0.813,0.827,0.8464
nmr2mol,-,-,0.368,0.529,0.572,0.628,0.6716,0.7605,0.7834,0.8158
