source,NMR Similarity Metric,Ratio Setting,Top 1,Top 3,Top 5,Top 10,Tani@1,Tani@3,Tani@5,Tani@10
evaluation_NMRExp_1000_10_5_rmse_010,RMSE,"(0, 1)",0.389,0.479,0.515,0.571,0.6532,0.743,0.7696,0.8044
evaluation_NMRExp_1000_10_5_rmse_100,RMSE,"(1, 0)",0.425,0.63,0.676,0.707,0.7807,0.8173,0.8333,0.8465
evaluation_NMRExp_1000_10_5_rmse_28,RMSE,"(0.2, 0.8)",0.501,0.573,0.609,0.651,0.7612,0.7955,0.8128,0.8361
evaluation_NMRExp_1000_10_5_rmse_46,RMSE,"(0.4, 0.6)",0.533,0.634,0.665,0.705,0.7831,0.8185,0.8335,0.8517
evaluation_NMRExp_1000_10_5_rmse_55,RMSE,"(0.5, 0.5)",0.543,0.648,0.678,0.709,0.7897,0.8237,0.8379,0.8509
evaluation_NMRExp_1000_10_5_rmse_64,RMSE,"(0.6, 0.4)",0.551,0.667,0.687,0.709,0.7944,0.8276,0.8395,0.85
evaluation_NMRExp_1000_10_5_rmse_82,RMSE,"(0.8, 0.2)",0.564,0.665,0.693,0.708,0.8014,0.8253,0.8366,0.8497
evaluation_NMRExp_1000_10_5_set_match_score_010,Set Match Score,"(0, 1)",0.389,0.479,0.515,0.571,0.6532,0.743,0.7696,0.8044
evaluation_NMRExp_1000_10_5_set_match_score_100,Set Match Score,"(1, 0)",0.448,0.645,0.692,0.72,0.7879,0.8235,0.842,0.8526
evaluation_NMRExp_1000_10_5_set_match_score_28,Set Match Score,"(0.2, 0.8)",0.468,0.515,0.545,0.588,0.7342,0.7787,0.7935,0.8155
evaluation_NMRExp_1000_10_5_set_match_score_46,Set Match Score,"(0.4, 0.6)",0.48,0.533,0.567,0.605,0.7493,0.7866,0.8009,0.8225
evaluation_NMRExp_1000_10_5_set_match_score_55,Set Match Score,"(0.5, 0.5)",0.489,0.546,0.58,0.619,0.7544,0.7904,0.8064,0.8285
evaluation_NMRExp_1000_10_5_set_match_score_64,Set Match Score,"(0.6, 0.4)",0.494,0.557,0.598,0.641,0.7594,0.7951,0.815,0.8365
evaluation_NMRExp_1000_10_5_set_match_score_82,Set Match Score,"(0.8, 0.2)",0.511,0.607,0.636,0.684,0.7722,0.8144,0.828,0.8478
nmr2mol,-,-,0.368,0.529,0.572,0.628,0.6716,0.7605,0.7834,0.8158
