Modality,Source,Iteration,Top 1,Top 3,Top 5,Top 10,Tani@1,Tani@3,Tani@5,Tani@10
C&H,evaluation_NMRExp_1000_10_5_rmse_631_mol2nmr_0,0,0.638,0.77,0.799,0.818,0.8817,0.907,0.9136,0.9228
C&H,evaluation_NMRExp_1000_10_5_rmse_631_mol2nmr_1,1,0.648,0.77,0.796,0.816,0.885,0.9076,0.914,0.9229
C&H,evaluation_NMRExp_1000_10_5_rmse_631_mol2nmr_2,2,0.648,0.772,0.797,0.816,0.8888,0.9079,0.9149,0.9232
C&H,evaluation_NMRExp_1000_10_5_rmse_631_mol2nmr_3,3,0.64,0.769,0.799,0.816,0.8883,0.9084,0.9161,0.923
C&H,evaluation_NMRExp_1000_10_5_rmse_631_mol2nmr_4,4,0.647,0.773,0.796,0.819,0.8878,0.9092,0.9166,0.924
C&H,evaluation_NMRExp_1000_10_5_rmse_631_mol2nmr_nmrshiftdb,nmrshiftdb,0.57,0.738,0.779,0.81,0.856,0.896,0.9076,0.9216
C&H,nmr2mol,-,0.515,0.678,0.723,0.752,0.8018,0.8613,0.8798,0.8955
C,evaluation_NMRExp_1000_10_5_rmse_82_mol2nmr_0,0,0.54,0.652,0.68,0.701,0.7874,0.8204,0.8347,0.8474
C,evaluation_NMRExp_1000_10_5_rmse_82_mol2nmr_1,1,0.55,0.66,0.686,0.703,0.7914,0.8244,0.8374,0.8482
C,evaluation_NMRExp_1000_10_5_rmse_82_mol2nmr_2,2,0.559,0.662,0.685,0.702,0.7944,0.8246,0.8382,0.8472
C,evaluation_NMRExp_1000_10_5_rmse_82_mol2nmr_3,3,0.56,0.66,0.687,0.701,0.7971,0.824,0.8382,0.8464
C,evaluation_NMRExp_1000_10_5_rmse_82_mol2nmr_4,4,0.559,0.659,0.686,0.704,0.7974,0.8242,0.8376,0.8486
C,evaluation_NMRExp_1000_10_5_rmse_82_mol2nmr_nmrshiftdb,nmrshiftdb,0.48,0.624,0.663,0.699,0.7481,0.8078,0.8262,0.8474
C,nmr2mol,-,0.368,0.529,0.572,0.628,0.6716,0.7605,0.7834,0.8158
H,evaluation_NMRExp_1000_10_5_rmse_64_mol2nmr_0,0,0.473,0.614,0.654,0.699,0.7557,0.8179,0.8365,0.8546
H,evaluation_NMRExp_1000_10_5_rmse_64_mol2nmr_1,1,0.478,0.623,0.656,0.696,0.7628,0.8223,0.8387,0.8537
H,evaluation_NMRExp_1000_10_5_rmse_64_mol2nmr_2,2,0.481,0.628,0.665,0.7,0.768,0.8243,0.8414,0.8542
H,evaluation_NMRExp_1000_10_5_rmse_64_mol2nmr_3,3,0.492,0.629,0.665,0.7,0.7748,0.8272,0.8408,0.8552
H,evaluation_NMRExp_1000_10_5_rmse_64_mol2nmr_4,4,0.481,0.621,0.668,0.705,0.7697,0.8243,0.8418,0.8555
H,evaluation_NMRExp_1000_10_5_rmse_64_mol2nmr_nmrshiftdb,nmrshiftdb,0.364,0.542,0.588,0.666,0.6733,0.782,0.8106,0.8419
H,nmr2mol,-,0.34,0.487,0.528,0.59,0.6547,0.7429,0.7694,0.8016
