Modality,Source,Augmentation Scale,Top 1,Top 3,Top 5,Top 10,Tani@1,Tani@3,Tani@5,Tani@10
C&H,evaluation_NMRExp_1000_10_5_rmse_631_molref_1,1,0.621,0.784,0.808,0.834,0.8866,0.9116,0.9153,0.9228
C&H,evaluation_NMRExp_1000_10_5_rmse_631_molref_3,3,0.659,0.777,0.815,0.836,0.8945,0.9163,0.9235,0.929
C&H,evaluation_NMRExp_1000_10_5_rmse_631_molref_5,5,0.666,0.784,0.806,0.825,0.8925,0.914,0.9193,0.9242
C&H,evaluation_NMRExp_1000_10_5_rmse_631_molref_10,10,0.646,0.773,0.796,0.819,0.888,0.9092,0.9165,0.924
C&H,nmr2mol,-,0.515,0.678,0.723,0.752,0.8018,0.8613,0.8798,0.8955
C,evaluation_NMRExp_1000_10_5_rmse_82_molref_1,1,0.54,0.654,0.676,0.711,0.7908,0.819,0.8294,0.8424
C,evaluation_NMRExp_1000_10_5_rmse_82_molref_3,3,0.567,0.665,0.688,0.711,0.8008,0.8282,0.8369,0.8484
C,evaluation_NMRExp_1000_10_5_rmse_82_molref_5,5,0.572,0.674,0.7,0.714,0.8032,0.8321,0.8447,0.8529
C,evaluation_NMRExp_1000_10_5_rmse_82_molref_10,10,0.559,0.659,0.686,0.704,0.7974,0.8242,0.8381,0.8486
C,nmr2mol,-,0.368,0.529,0.572,0.628,0.6716,0.7605,0.7834,0.8158
H,evaluation_NMRExp_1000_10_5_rmse_64_molref_1,1,0.461,0.608,0.67,0.711,0.7562,0.8141,0.8349,0.8492
H,evaluation_NMRExp_1000_10_5_rmse_64_molref_3,3,0.483,0.64,0.682,0.719,0.7716,0.8311,0.8453,0.8581
H,evaluation_NMRExp_1000_10_5_rmse_64_molref_5,5,0.507,0.654,0.689,0.728,0.7796,0.8391,0.8524,0.8672
H,nmr2mol,-,0.34,0.487,0.528,0.59,0.6547,0.7429,0.7694,0.8016
