Modality,Source,Revision Round,Top 1,Top 3,Top 5,Top 10,Tani@1,Tani@3,Tani@5,Tani@10
C&H,evaluation_USPTO-NMR_10000_10_5_rmse_631,1,0.7987,0.8959,0.9097,0.9166,0.9437,0.9595,0.9626,0.9646
C&H,evaluation_USPTO-NMR_10000_10_5_rmse_631,2,0.7995,0.8968,0.9118,0.9199,0.9442,0.96,0.9637,0.9657
C&H,evaluation_USPTO-NMR_10000_10_5_rmse_631,3,0.7992,0.8968,0.9119,0.9202,0.9443,0.96,0.9637,0.966
C&H,evaluation_USPTO-NMR_10000_10_5_rmse_631,4,0.7993,0.897,0.9122,0.9204,0.9445,0.9601,0.9638,0.966
C&H,evaluation_USPTO-NMR_10000_10_5_rmse_631,5,0.7993,0.897,0.9121,0.9204,0.9444,0.9602,0.9638,0.966
C&H,nmr2mol,0,0.694,0.8164,0.8454,0.8751,0.8815,0.9226,0.9351,0.9477
C,evaluation_USPTO-NMR_10000_10_5_rmse_82,1,0.6727,0.7695,0.7864,0.7982,0.855,0.8824,0.8894,0.896
C,evaluation_USPTO-NMR_10000_10_5_rmse_82,2,0.6788,0.7783,0.7961,0.8104,0.8591,0.887,0.894,0.9014
C,evaluation_USPTO-NMR_10000_10_5_rmse_82,3,0.6795,0.7793,0.7977,0.8119,0.8594,0.8872,0.8947,0.9019
C,evaluation_USPTO-NMR_10000_10_5_rmse_82,4,0.6794,0.7794,0.7983,0.8123,0.8594,0.8871,0.8948,0.9019
C,evaluation_USPTO-NMR_10000_10_5_rmse_82,5,0.6795,0.7796,0.7982,0.8126,0.8595,0.8872,0.8946,0.9019
C,nmr2mol,0,0.4769,0.6193,0.6582,0.7064,0.7338,0.8071,0.8299,0.8571
H,evaluation_USPTO-NMR_10000_10_5_rmse_64,1,0.6329,0.7779,0.8142,0.8502,0.8405,0.9003,0.9157,0.9296
H,evaluation_USPTO-NMR_10000_10_5_rmse_64,2,0.6265,0.7718,0.8077,0.8479,0.8349,0.8959,0.912,0.9284
H,evaluation_USPTO-NMR_10000_10_5_rmse_64,3,0.6248,0.7695,0.8059,0.8458,0.8338,0.8942,0.9105,0.9274
H,evaluation_USPTO-NMR_10000_10_5_rmse_64,4,0.6248,0.7685,0.805,0.845,0.8337,0.8936,0.9098,0.9269
H,evaluation_USPTO-NMR_10000_10_5_rmse_64,5,0.6248,0.7685,0.8048,0.8452,0.8336,0.8935,0.9095,0.9268
H,nmr2mol,0,0.5799,0.7159,0.7523,0.7904,0.804,0.8649,0.8843,0.9041
