source,NMR Similarity Metric,Ratio Setting,Top 1,Top 3,Top 5,Top 10,Tani@1,Tani@3,Tani@5,Tani@10
evaluation_USPTO-NMR_1000_10_5_rmse_0010,RMSE,"(0, 0, 1)",0.705,0.813,0.847,0.886,0.8915,0.9335,0.9453,0.9575
evaluation_USPTO-NMR_1000_10_5_rmse_0100,RMSE,"(0, 1, 0)",0.498,0.784,0.857,0.917,0.8324,0.9241,0.9471,0.9673
evaluation_USPTO-NMR_1000_10_5_rmse_1000,RMSE,"(1, 0, 0)",0.67,0.872,0.904,0.929,0.9388,0.9627,0.9673,0.9706
evaluation_USPTO-NMR_1000_10_5_rmse_217,RMSE,"(0.2, 0.1, 0.7)",0.769,0.881,0.902,0.922,0.9361,0.9594,0.9651,0.9694
evaluation_USPTO-NMR_1000_10_5_rmse_280,RMSE,"(0.2, 0.8, 0)",0.648,0.861,0.905,0.929,0.9133,0.9552,0.9648,0.9711
evaluation_USPTO-NMR_1000_10_5_rmse_316,RMSE,"(0.3, 0.1, 0.6)",0.78,0.891,0.915,0.928,0.9409,0.962,0.9679,0.9712
evaluation_USPTO-NMR_1000_10_5_rmse_460,RMSE,"(0.4, 0.6, 0)",0.694,0.88,0.913,0.937,0.9431,0.9642,0.9682,0.973
evaluation_USPTO-NMR_1000_10_5_rmse_613,RMSE,"(0.6, 0.1, 0.3)",0.811,0.911,0.925,0.934,0.9554,0.9682,0.9707,0.9724
evaluation_USPTO-NMR_1000_10_5_rmse_631,RMSE,"(0.6, 0.3, 0.1)",0.807,0.909,0.928,0.935,0.9558,0.9672,0.9704,0.9731
evaluation_USPTO-NMR_1000_10_5_rmse_640,RMSE,"(0.6, 0.4, 0)",0.692,0.892,0.915,0.936,0.9502,0.9675,0.9695,0.9731
evaluation_USPTO-NMR_1000_10_5_rmse_712,RMSE,"(0.7, 0.1, 0.2)",0.811,0.913,0.925,0.934,0.9548,0.9678,0.97,0.9719
evaluation_USPTO-NMR_1000_10_5_rmse_721,RMSE,"(0.7, 0.2, 0.1)",0.81,0.908,0.924,0.934,0.9556,0.9677,0.9702,0.9725
evaluation_USPTO-NMR_1000_10_5_rmse_811,RMSE,"(0.8, 0.1, 0.1)",0.803,0.905,0.922,0.933,0.9539,0.9663,0.9692,0.9716
evaluation_USPTO-NMR_1000_10_5_rmse_820,RMSE,"(0.8, 0.2, 0)",0.682,0.889,0.909,0.933,0.948,0.9672,0.9693,0.9722
evaluation_USPTO-NMR_1000_10_5_set_match_score_0010,Set Match Score,"(0, 0, 1)",0.705,0.813,0.847,0.886,0.8915,0.9335,0.9453,0.9575
evaluation_USPTO-NMR_1000_10_5_set_match_score_0100,Set Match Score,"(0, 1, 0)",0.515,0.817,0.873,0.932,0.8489,0.9376,0.9582,0.9715
evaluation_USPTO-NMR_1000_10_5_set_match_score_1000,Set Match Score,"(1, 0, 0)",0.675,0.883,0.911,0.935,0.9415,0.9669,0.9698,0.9723
evaluation_USPTO-NMR_1000_10_5_set_match_score_217,Set Match Score,"(0.2, 0.1, 0.7)",0.735,0.835,0.865,0.896,0.9149,0.9447,0.9518,0.9616
evaluation_USPTO-NMR_1000_10_5_set_match_score_280,Set Match Score,"(0.2, 0.8, 0)",0.647,0.868,0.91,0.936,0.9231,0.9596,0.9684,0.9723
evaluation_USPTO-NMR_1000_10_5_set_match_score_316,Set Match Score,"(0.3, 0.1, 0.6)",0.737,0.844,0.871,0.898,0.9176,0.9472,0.9534,0.9626
evaluation_USPTO-NMR_1000_10_5_set_match_score_460,Set Match Score,"(0.4, 0.6, 0)",0.685,0.879,0.913,0.937,0.94,0.9656,0.9697,0.9728
evaluation_USPTO-NMR_1000_10_5_set_match_score_613,Set Match Score,"(0.6, 0.1, 0.3)",0.758,0.874,0.894,0.918,0.9315,0.9574,0.9625,0.9695
evaluation_USPTO-NMR_1000_10_5_set_match_score_631,Set Match Score,"(0.6, 0.3, 0.1)",0.788,0.904,0.923,0.933,0.9468,0.967,0.9704,0.9722
evaluation_USPTO-NMR_1000_10_5_set_match_score_640,Set Match Score,"(0.6, 0.4, 0)",0.686,0.888,0.918,0.937,0.9492,0.9685,0.9705,0.9729
evaluation_USPTO-NMR_1000_10_5_set_match_score_712,Set Match Score,"(0.7, 0.1, 0.2)",0.773,0.882,0.906,0.924,0.9391,0.9609,0.9665,0.9711
evaluation_USPTO-NMR_1000_10_5_set_match_score_721,Set Match Score,"(0.7, 0.2, 0.1)",0.791,0.901,0.922,0.934,0.9476,0.9666,0.97,0.9721
evaluation_USPTO-NMR_1000_10_5_set_match_score_811,Set Match Score,"(0.8, 0.1, 0.1)",0.786,0.901,0.923,0.932,0.9456,0.9671,0.9702,0.9722
evaluation_USPTO-NMR_1000_10_5_set_match_score_820,Set Match Score,"(0.8, 0.2, 0)",0.688,0.891,0.917,0.936,0.9514,0.9685,0.9708,0.9729
nmr2mol,-,-,0.726,0.846,0.87,0.894,0.8987,0.9387,0.948,0.9549
