source,NMR Similarity Metric,Ratio Setting,Top 1,Top 3,Top 5,Top 10,Tani@1,Tani@3,Tani@5,Tani@10
evaluation_USPTO-NMR_1000_10_5_rmse_010,RMSE,"(0, 1)",0.63,0.744,0.782,0.832,0.8405,0.8928,0.9093,0.9296
evaluation_USPTO-NMR_1000_10_5_rmse_100,RMSE,"(1, 0)",0.457,0.731,0.81,0.87,0.7956,0.8913,0.9212,0.9417
evaluation_USPTO-NMR_1000_10_5_rmse_28,RMSE,"(0.2, 0.8)",0.66,0.779,0.814,0.853,0.8593,0.9089,0.9205,0.9381
evaluation_USPTO-NMR_1000_10_5_rmse_46,RMSE,"(0.4, 0.6)",0.668,0.791,0.832,0.867,0.8613,0.9125,0.9302,0.9413
evaluation_USPTO-NMR_1000_10_5_rmse_55,RMSE,"(0.5, 0.5)",0.667,0.796,0.838,0.871,0.8602,0.9146,0.931,0.9429
evaluation_USPTO-NMR_1000_10_5_rmse_64,RMSE,"(0.6, 0.4)",0.661,0.805,0.838,0.876,0.8575,0.9176,0.93,0.9439
evaluation_USPTO-NMR_1000_10_5_rmse_82,RMSE,"(0.8, 0.2)",0.633,0.797,0.839,0.877,0.8434,0.9099,0.9281,0.9437
evaluation_USPTO-NMR_1000_10_5_set_match_score_010,Set Match Score,"(0, 1)",0.63,0.744,0.782,0.832,0.8405,0.8928,0.9093,0.9296
evaluation_USPTO-NMR_1000_10_5_set_match_score_100,Set Match Score,"(1, 0)",0.479,0.759,0.836,0.876,0.8125,0.9063,0.9303,0.9436
evaluation_USPTO-NMR_1000_10_5_set_match_score_28,Set Match Score,"(0.2, 0.8)",0.647,0.758,0.792,0.832,0.8538,0.8997,0.912,0.9302
evaluation_USPTO-NMR_1000_10_5_set_match_score_46,Set Match Score,"(0.4, 0.6)",0.654,0.762,0.799,0.841,0.8584,0.9016,0.9135,0.9331
evaluation_USPTO-NMR_1000_10_5_set_match_score_55,Set Match Score,"(0.5, 0.5)",0.655,0.771,0.807,0.846,0.8585,0.905,0.9176,0.9342
evaluation_USPTO-NMR_1000_10_5_set_match_score_64,Set Match Score,"(0.6, 0.4)",0.656,0.777,0.814,0.848,0.8596,0.9082,0.9203,0.9355
evaluation_USPTO-NMR_1000_10_5_set_match_score_82,Set Match Score,"(0.8, 0.2)",0.667,0.793,0.827,0.867,0.8659,0.912,0.9273,0.942
nmr2mol,-,-,0.608,0.745,0.779,0.812,0.8265,0.8826,0.8986,0.9172
