Modality,Source,Augmentation Scale,Top 1,Top 3,Top 5,Top 10,Tani@1,Tani@3,Tani@5,Tani@10
C&H,evaluation_USPTO-NMR_1000_10_5_rmse_631_molref_1,1,0.73,0.883,0.905,0.916,0.9348,0.9568,0.9586,0.9621
C&H,evaluation_USPTO-NMR_1000_10_5_rmse_631_molref_3,3,0.777,0.894,0.916,0.923,0.9469,0.9596,0.9632,0.9651
C&H,evaluation_USPTO-NMR_1000_10_5_rmse_631_molref_5,5,0.807,0.908,0.921,0.932,0.9538,0.9668,0.9691,0.971
C&H,evaluation_USPTO-NMR_1000_10_5_rmse_631_molref_10,10,0.809,0.911,0.925,0.932,0.9546,0.9684,0.97,0.9717
C&H,nmr2mol,-,0.726,0.846,0.87,0.894,0.8987,0.9387,0.948,0.9549
C,evaluation_USPTO-NMR_1000_10_5_rmse_82_molref_1,1,0.598,0.734,0.76,0.78,0.8411,0.8727,0.8818,0.8882
C,evaluation_USPTO-NMR_1000_10_5_rmse_82_molref_3,3,0.644,0.766,0.784,0.8,0.8553,0.885,0.8905,0.8983
C,evaluation_USPTO-NMR_1000_10_5_rmse_82_molref_5,5,0.638,0.771,0.792,0.802,0.8589,0.8873,0.8963,0.9019
C,evaluation_USPTO-NMR_1000_10_5_rmse_82_molref_10,10,0.673,0.778,0.797,0.808,0.866,0.8898,0.8959,0.9012
C,nmr2mol,-,0.471,0.616,0.656,0.717,0.7383,0.8178,0.8394,0.8649
H,evaluation_USPTO-NMR_1000_10_5_rmse_64_molref_1,1,0.517,0.709,0.777,0.84,0.7929,0.8748,0.9002,0.9221
H,evaluation_USPTO-NMR_1000_10_5_rmse_64_molref_3,3,0.606,0.771,0.819,0.859,0.8325,0.9029,0.9206,0.935
H,evaluation_USPTO-NMR_1000_10_5_rmse_64_molref_5,5,0.647,0.8,0.847,0.877,0.8551,0.916,0.9304,0.9417
H,evaluation_USPTO-NMR_1000_10_5_rmse_64_molref_10,10,0.662,0.803,0.838,0.876,0.8584,0.917,0.93,0.9438
H,nmr2mol,-,0.608,0.745,0.779,0.812,0.8265,0.8826,0.8986,0.9172
