Modality,Source,Beam Size,Revision_Rounds,Top 1,Top 3,Top 5,Top 10,Tani@1,Tani@3,Tani@5,Tani@10
C&H,evaluation_USPTO-NMR_1000_10_5_rmse_631,10,1,0.808,0.911,0.927,0.932,0.9546,0.9683,0.9701,0.9717
C&H,evaluation_USPTO-NMR_1000_10_5_rmse_631,10,2,0.808,0.91,0.928,0.936,0.9554,0.9674,0.9701,0.9731
C&H,evaluation_USPTO-NMR_1000_10_5_rmse_631,10,3,0.807,0.909,0.928,0.935,0.9558,0.9672,0.9704,0.9731
C&H,evaluation_USPTO-NMR_1000_10_5_rmse_631,10,4,0.807,0.909,0.928,0.935,0.9559,0.9672,0.9704,0.9732
C&H,evaluation_USPTO-NMR_1000_10_5_rmse_631,10,5,0.807,0.909,0.928,0.935,0.9559,0.9673,0.9704,0.9731
C&H,nmr2mol,10,-,0.726,0.846,0.87,0.894,0.8987,0.9387,0.948,0.9549
C&H,evaluation_USPTO-NMR_1000_15_5_rmse_631,15,1,0.812,0.912,0.928,0.94,0.956,0.9692,0.9715,0.9751
C&H,evaluation_USPTO-NMR_1000_15_5_rmse_631,15,2,0.811,0.912,0.93,0.939,0.9569,0.9689,0.9725,0.9755
C&H,evaluation_USPTO-NMR_1000_15_5_rmse_631,15,3,0.81,0.913,0.931,0.94,0.9575,0.9696,0.973,0.9759
C&H,evaluation_USPTO-NMR_1000_15_5_rmse_631,15,4,0.809,0.913,0.931,0.94,0.957,0.9696,0.9731,0.976
C&H,evaluation_USPTO-NMR_1000_15_5_rmse_631,15,5,0.809,0.913,0.931,0.94,0.9571,0.9697,0.9732,0.9761
C&H,nmr2mol,15,-,0.726,0.846,0.869,0.895,0.8987,0.9391,0.9486,0.956
C&H,evaluation_USPTO-NMR_1000_20_5_rmse_631,20,1,0.812,0.914,0.932,0.942,0.9601,0.9719,0.975,0.9781
C&H,evaluation_USPTO-NMR_1000_20_5_rmse_631,20,2,0.813,0.919,0.936,0.946,0.9614,0.9738,0.9768,0.9799
C&H,evaluation_USPTO-NMR_1000_20_5_rmse_631,20,3,0.813,0.918,0.936,0.946,0.9614,0.9737,0.977,0.98
C&H,evaluation_USPTO-NMR_1000_20_5_rmse_631,20,4,0.813,0.918,0.936,0.946,0.9614,0.9736,0.977,0.9801
C&H,evaluation_USPTO-NMR_1000_20_5_rmse_631,20,5,0.812,0.918,0.936,0.946,0.9613,0.9736,0.977,0.9801
C&H,nmr2mol,20,-,0.726,0.846,0.869,0.895,0.8993,0.9398,0.9495,0.9568
C,evaluation_USPTO-NMR_1000_10_5_rmse_82,10,1,0.674,0.779,0.797,0.808,0.8665,0.8905,0.8959,0.9012
C,evaluation_USPTO-NMR_1000_10_5_rmse_82,10,2,0.677,0.785,0.807,0.82,0.8671,0.8935,0.9002,0.9062
C,evaluation_USPTO-NMR_1000_10_5_rmse_82,10,3,0.673,0.785,0.804,0.819,0.8657,0.8927,0.9001,0.9058
