Model,Dataset,Modality,Top 1,Top 5,Top 10,Tani@1,Tani@5,Tani@10
NMR2Mol,USPTO-NMR,C,47.69,65.82,70.64,73.38,82.99,85.71
NMR2Mol,USPTO-NMR,H,57.99,75.23,79.04,80.4,88.43,90.41
NMR2Mol,USPTO-NMR,C&H,69.4,84.54,87.51,88.15,93.51,94.77
NMR2Mol,NMRBank,C,31.04,46.13,50.15,56.68,66.36,69.13
NMR2Mol,NMRBank,H,32.09,46.53,50.66,57.24,66.76,69.52
NMR2Mol,NMRBank,C&H,43.88,59.46,63.24,67.25,75.39,77.55
NMR2Mol,NMRExp,C,39.0,57.86,62.92,68.52,79.12,82.11
NMR2Mol,NMRExp,H,36.0,55.38,60.88,66.75,77.88,80.93
NMR2Mol,NMRExp,C&H,54.34,73.39,77.18,81.52,88.7,90.49
Transformer,USPTO-NMR,C,48.03,65.38,68.86,73.86,83.41,85.53
Transformer,USPTO-NMR,H,63.36,78.2,80.62,84.38,91.36,92.66
Transformer,USPTO-NMR,C&H,70.56,83.96,85.9,89.05,94.46,95.38
Transformer,NMRBank,C,25.18,39.17,41.83,57.64,68.33,70.72
Transformer,NMRBank,H,24.99,38.04,40.42,56.57,67.58,70.06
Transformer,NMRBank,C&H,28.77,42.69,45.57,60.24,71.63,74.08
Transformer,NMRExp,C,32.45,48.68,52.57,64.46,75.1,77.74
Transformer,NMRExp,H,37.01,52.82,56.22,68.21,78.34,80.63
Transformer,NMRExp,C&H,46.83,63.48,66.38,77.53,86.03,87.69
NMR-RISE,USPTO-NMR,C,67.95,79.82,81.26,85.95,89.46,90.19
NMR-RISE,USPTO-NMR,H,62.48,80.48,84.52,83.36,90.95,92.68
NMR-RISE,USPTO-NMR,C&H,79.93,91.21,92.04,94.44,96.38,96.6
NMR-RISE,NMRBank,C,49.64,58.54,60.08,67.22,71.51,72.83
NMR-RISE,NMRBank,H,44.43,57.69,60.21,65.12,72.1,73.65
NMR-RISE,NMRBank,C&H,60.32,69.82,71.02,76.55,79.81,80.51
NMR-RISE,NMRExp,C,58.14,71.63,73.58,82.32,85.49,86.63
NMR-RISE,NMRExp,H,49.09,67.53,71.86,77.05,84.58,86.28
NMR-RISE,NMRExp,C&H,65.52,81.78,83.52,89.79,92.42,92.97
NMR-Solver,USPTO-NMR,C,38.2,51.7,54.3,60.75,69.07,70.22
NMR-Solver,USPTO-NMR,H,17.0,28.3,31.3,39.84,49.53,51.72
NMR-Solver,USPTO-NMR,C&H,46.6,63.8,67.3,75.06,84.61,86.33
NMR-Solver,NMRBank,C,21.8,28.4,29.5,39.64,44.5,45.31
NMR-Solver,NMRBank,H,24.8,34.0,36.5,49.2,56.09,57.79
NMR-Solver,NMRBank,C&H,24.8,34.0,36.5,49.2,56.09,57.8
NMR-Solver,NMRExp,C,29.2,33.7,34.6,51.02,55.89,56.77
NMR-Solver,NMRExp,H,11.0,17.3,18.8,33.23,41.03,42.96
NMR-Solver,NMRExp,C&H,34.1,41.2,42.2,64.69,70.8,72.22
